,wt_naive_0,wt_naive_1,wt_naive_2,wt_naive_3,ko_naive_0,ko_naive_1,ko_naive_2,ko_naive_3,wt_pathogenic_0,wt_pathogenic_1,wt_pathogenic_2,wt_pathogenic_3,ko_pathogenic_0,ko_pathogenic_1,ko_pathogenic_2,ko_pathogenic_3
Xkr4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Gm37381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrpl15,14.0,17.0,22.0,13.0,21.0,21.0,25.0,19.0,74.0,83.0,105.0,70.0,47.0,48.0,47.0,37.0
Lypla1,26.0,25.0,27.0,13.0,25.0,21.0,29.0,15.0,107.0,94.0,113.0,96.0,65.0,59.0,51.0,58.0
Tcea1,51.0,53.0,54.0,53.0,52.0,49.0,41.0,52.0,192.0,175.0,215.0,189.0,124.0,134.0,113.0,138.0
Rgs20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atp6v1h,29.0,28.0,43.0,38.0,27.0,39.0,23.0,24.0,134.0,115.0,96.0,121.0,92.0,73.0,100.0,85.0
Rb1cc1,28.0,30.0,34.0,38.0,50.0,38.0,50.0,24.0,174.0,199.0,148.0,193.0,109.0,110.0,95.0,110.0
4732440D04Rik,3.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,10.0,13.0,14.0,10.0,2.0,3.0,6.0,4.0
Alkal1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St18,0.0,3.0,2.0,4.0,1.0,0.0,6.0,2.0,37.0,47.0,6.0,6.0,9.0,26.0,16.0,16.0
Pcmtd1,24.0,35.0,33.0,28.0,40.0,33.0,42.0,38.0,140.0,134.0,104.0,139.0,68.0,89.0,57.0,69.0
Gm26901,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Gm30414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sntg1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0
Rrs1,8.0,9.0,5.0,7.0,5.0,4.0,6.0,8.0,26.0,42.0,26.0,30.0,14.0,12.0,14.0,10.0
Adhfe1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2610203C22Rik,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0
Vxn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Mybl1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0
Vcpip1,19.0,17.0,29.0,29.0,13.0,22.0,17.0,20.0,141.0,103.0,86.0,113.0,53.0,57.0,65.0,42.0
1700034P13Rik,2.0,0.0,2.0,0.0,1.0,2.0,0.0,4.0,2.0,5.0,1.0,7.0,1.0,12.0,1.0,2.0
Sgk3,75.0,80.0,99.0,78.0,78.0,64.0,79.0,56.0,504.0,426.0,467.0,503.0,212.0,229.0,281.0,273.0
Mcmdc2,1.0,5.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,5.0,6.0,3.0,7.0,2.0
Snhg6,10.0,18.0,9.0,8.0,19.0,12.0,7.0,13.0,65.0,52.0,62.0,39.0,50.0,48.0,46.0,55.0
Tcf24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ppp1r42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
