"","wt_naive_0","wt_naive_1","wt_naive_2","wt_naive_3","ko_naive_0","ko_naive_1","ko_naive_2","ko_naive_3","wt_pathogenic_0","wt_pathogenic_1","wt_pathogenic_2","wt_pathogenic_3","ko_pathogenic_0","ko_pathogenic_1","ko_pathogenic_2","ko_pathogenic_3"
"Xkr4",0,0,1.64569860733053,0,0,0,0,2.09130539504536,0.949315899145981,0,0.408017349408823,0,0,0.667841792708799,0.702472723825549,0
"Gm37381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mrpl15",44.8575112593065,23.0635598614232,19.7483832879664,31.0167669208411,48.2559047396851,30.0069016420352,48.096422478593,33.4608863207258,37.4979780162663,35.3675096032596,31.8253532538882,36.2677137671529,33.8013501224458,22.0387791593904,37.9335270865797,26.9806728736935
"Lypla1",36.3132234003909,38.4392664357053,46.0795610052549,36.1862280743146,44.3954323605103,46.88578381568,41.4624331712008,35.5521917157712,50.313742654737,42.6114573533248,37.5375961456118,44.1519993687079,30.4212151102012,43.4097165260719,40.7434179818818,41.7558032569066
"Tcea1",85.4428785891552,92.2542394456926,85.5763275811877,101.666069351646,104.23275423772,71.2663913998335,81.2663690155537,110.839185937404,80.6918514274084,85.2229147066496,87.723730122897,73.3238560944613,83.1513213012167,77.4696479542207,78.6769450684615,101.498721762942
"Rgs20",0,0,0,0,1.93023618958741,0,0,0,0,0,0,0,0,0,0,0
"Atp6v1h",59.8100150124086,49.2022610377027,59.2451498638992,72.3724561486293,44.3954323605103,61.8892346366975,56.3889091128331,48.1000240860434,53.6363483017479,49.4292905298567,45.6979431337882,49.2767850097187,59.4903762155046,51.4238180385775,56.9002906298695,66.8092852110506
"Rb1cc1",61.9460869771375,64.5779676119848,44.4338623979244,55.1409189703842,77.2094475834962,71.2663913998335,99.509839610882,50.1913294810888,75.4706139821055,82.6662272654501,72.2190708453617,72.5354275343059,69.6307812522384,58.1022359656655,74.4621087255082,82.2268125674469
"4732440D04Rik",6.40821589418664,3.07514131485642,1.64569860733053,5.16946115347352,5.79070856876222,1.8754313526272,4.9754919805441,4.18261079009073,3.32260564701093,8.09617689713171,3.26413879527059,5.12478564101074,0,2.0035253781264,5.61978179060439,2.56958789273271
