"","wt_naive_0","wt_naive_1","wt_naive_2","wt_naive_3","ko_naive_0","ko_naive_1","ko_naive_2","ko_naive_3","wt_pathogenic_0","wt_pathogenic_1","wt_pathogenic_2","wt_pathogenic_3","ko_pathogenic_0","ko_pathogenic_1","ko_pathogenic_2","ko_pathogenic_3"
"Xkr4",0,0,1,0,0,0,0,1,2,0,1,0,0,1,1,0
"Gm37381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mrpl15",21,15,12,18,25,16,29,16,79,83,78,92,50,33,54,42
"Lypla1",17,25,28,21,23,25,25,17,106,100,92,112,45,65,58,65
"Tcea1",40,60,52,59,54,38,49,53,170,200,215,186,123,116,112,158
"Rgs20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Atp6v1h",28,32,36,42,23,33,34,23,113,116,112,125,88,77,81,104
"Rb1cc1",29,42,27,32,40,38,60,24,159,194,177,184,103,87,106,128
"4732440D04Rik",3,2,1,3,3,1,3,2,7,19,8,13,0,3,8,4
"Alkal1",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"St18",1,5,0,3,0,4,3,2,34,29,15,18,10,19,17,21
"Pcmtd1",25,25,35,35,33,41,48,31,133,112,139,133,71,64,71,77
"Gm26901",0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,2
"Gm30414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sntg1",0,0,0,0,0,0,1,0,2,1,1,4,0,1,2,1
"Rrs1",6,11,2,10,4,6,6,7,25,42,27,30,18,12,7,13
"Adhfe1",0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
"2610203C22Rik",0,0,0,0,0,1,0,1,2,2,0,1,3,1,0,0
"Vxn",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"Mybl1",1,0,1,0,0,0,0,1,3,4,3,3,1,0,0,0
"Vcpip1",22,24,23,25,12,21,22,17,81,109,131,122,43,51,55,68
"1700034P13Rik",2,0,1,1,0,4,0,3,0,3,4,8,8,0,1,7
"Sgk3",78,101,73,80,61,57,84,75,364,489,497,550,255,249,235,256
"Mcmdc2",4,2,3,2,2,1,1,0,2,3,2,4,2,6,5,5
"Snhg6",7,13,17,8,16,12,12,11,48,46,58,66,56,52,42,49
"Tcf24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ppp1r42",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cops5",17,27,23,23,16,16,27,19,68,94,109,106,54,41,57,58
"Cspp1",19,38,25,23,20,19,30,25,94,137,121,130,78,63,71,82
"Arfgef1",48,80,72,59,56,62,58,46,240,293,351,314,151,172,141,210
"Cpa6",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Prex2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"A830018L16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sulf1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Slco5a1",0,84,23,16,57,1,21,10,114,77,110,96,39,13,12,50
"Prdm14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ncoa2",88,126,166,129,83,102,129,89,474,563,552,522,330,281,311,320
"Gm29570",0,0,0,0,1,0,0,0,1,0,0,1,2,2,0,0
"Tram1",56,58,49,53,52,66,66,56,176,198,225,258,132,131,126,122
"Lactb2",7,10,8,9,9,5,7,4,18,25,32,31,14,15,17,22
"Xkr9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eya1",10,8,6,14,15,25,20,16,19,23,29,13,6,19,8,18
"Trpa1",0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"Kcnb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terf1",6,19,11,13,9,12,17,12,63,77,84,106,36,60,30,52
"Sbspon",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
