,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log_pvalue,log_padj
Pcmtd1,56.734430890205374,-0.5955627305410703,0.16766722949035234,-3.552052075717869,0.00038223920282698333,0.009903553188280982,7.869463959919027,4.614861678326459
Eya1,17.620851530702684,-2.081373934993298,0.48248717440538075,-4.31384303128553,1.6044088157508187e-05,0.000754002688475796,11.04017011533782,7.190114624344909
Tmem131,254.78871983172965,0.6028988037224645,0.1174343632653921,5.133921511201644,2.8376647450526995e-07,2.4209482751750624e-05,15.075114209905745,10.628766152308605
Eif5b,104.80146311531036,0.5249978375483733,0.14547953248211948,3.608740202769756,0.0003076875462900774,0.008267960402289803,8.086425750000764,4.795367426447209
Aff3,214.39690330115465,-1.2115852535896836,0.14983642404522127,-8.086052916105514,6.162941865197476e-16,2.9089085603732085e-13,35.02280724884312,28.86582826325757
Il1r2,31.784574239770905,3.2766943477917896,0.49012804543144517,6.685384316066658,2.303194022737721e-11,5.102749859355244e-09,24.494139157821017,19.093486254416938
Stk17b,173.86365535893182,0.5729256205995511,0.11874208492714323,4.824958404184009,1.400324895233581e-06,9.560960416764626e-05,13.478806280242694,9.25523728094822
Fam117b,77.21651558019872,0.7393705826395672,0.21454109790043135,3.446288799093913,0.0005683426238773518,0.013354821482278206,7.472786110050104,4.315877799617138
Cd28,4.580172086504996,-2.7685630068037246,0.7898475108515648,-3.505186721192336,0.0004562871489003754,0.011360187994633375,7.692388234134786,4.4776403170027015
Ikzf2,21.068485182677886,-1.707449568766332,0.38259756056653166,-4.462782162641143,8.090228950239838e-06,0.00042224771867213314,11.724853526893849,7.769918405080461
Sh3bp4,22.067897911183945,-1.4667175509607122,0.3077822753229933,-4.765438651142297,1.8844322950925717e-06,0.00012438245250985308,13.181883952137168,8.992149444603418
St8sia4,293.88421158414,-0.8032123391680533,0.2015954632956475,-3.9842778504896788,6.768564143279982e-05,0.002474058327927525,9.600636491636557,6.001895428924551
Phlpp1,141.78728065225323,0.9931130657151651,0.13884379726226523,7.152736278447146,8.506493526839831e-13,2.97891915249591e-10,27.79277639274917,21.93429039571961
Tmem163,96.5156047522696,-2.0584115540633245,0.4021050292166404,-5.119089303790635,3.070145667642619e-07,2.5442367456433792e-05,14.996370641741345,10.579094763427792
Gm15675,2.5052789256188706,-5.726865454636181,1.7894823195172676,-3.2002917224580716,0.001372885540758749,0.02593768868368608,6.5908405200130735,3.652058206465927
Rab7b,51.92412941917354,1.3542507671626636,0.36227949166916246,3.7381380903542287,0.0001853881181169572,0.005528515892661403,8.593058994712784,5.197835873307212
Nuak2,29.731427082628915,0.9738683142363234,0.31600149989747356,3.081847125891156,0.0020572045950252183,0.03500472270155763,6.186407210435238,3.352272292265323
Btg2,306.0619378176247,1.0277184512492972,0.15186847890689364,6.76716102410799,1.3133388428932587e-11,3.1265166036798087e-09,25.05586339320518,19.58334635830686
Gm4258,66.52691443577096,-0.9941101993482642,0.32850862891836957,-3.0261311631947683,0.002477048249841873,0.04007576125228521,6.000687649519748,3.216983584976725
Rgs2,391.9245663266687,0.6785622948800902,0.1193513321632941,5.685418692702105,1.3049255793591003e-08,1.4756533426585826e-06,18.15453473211486,13.426409722067993
Rgs1,184.82409010688895,1.3257750282677794,0.2260600764466967,5.8647022026482745,4.499394877688938e-09,5.746521269669543e-07,19.219322920836937,14.369500975812548
