,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log_pvalue,log_padj
Actr1b,20.731210570792026,-1.2300710876739203,0.36103207147679106,-3.4070964461477087,0.0006565792184892712,0.041190002201351855,7.328467203581529,3.189559717090307
Eif5b,104.80146311531036,-0.6312694017887274,0.1601711040018586,-3.941219021512158,8.10685598219857e-05,0.008184863111385042,9.420215343745793,4.805468792625704
Rnf149,77.05555737960732,-0.7148918636395983,0.1877324584480666,-3.808035485975179,0.00014007517555559882,0.01328833220530802,8.873331311216557,4.320868906584188
Adam23,501.72543181859356,-1.0211155386275799,0.2095614825338266,-4.8726298663341225,1.1012242077987944e-06,0.0003124973967858124,13.719088080811343,8.070914419107915
Gm2000,52.363846860040894,0.7643362901781532,0.2244206069037539,3.405820440125403,0.0006596554951456429,0.041190002201351855,7.323792836273305,3.189559717090307
Rasal2,115.53174521871942,-1.4904303663516716,0.3374771808197561,-4.416388576944107,1.0036359760017941e-05,0.0018677121929108215,11.50929608314982,6.283041023363392
Fcgr2b,37.360493466402446,1.285371487181874,0.33513000371135543,3.835441389750806,0.0001253389943216196,0.012226427211716738,8.984488536802777,4.4041555051007055
Usp6nl,145.7753009397785,-0.6259914595391842,0.18670153164197317,-3.352899432767441,0.0007996975804958163,0.0466589906078073,7.131276926145804,3.0648896455459664
Hspa5,364.7997633178565,0.5369323016501577,0.14371206244910015,3.736167253464392,0.00018684641501694112,0.015553095586010177,8.585223588639423,4.163495587113989
Zeb2,604.1611324078413,0.5673824759677616,0.15696982914511037,3.614595741473645,0.00030081663762689825,0.023185163811169456,8.109009656158566,3.7642426957692603
Cobll1,20.068295643191007,1.5826499146397142,0.3914352144206551,4.043197587580668,5.272715033345296e-05,0.006341683632670226,9.850380048486972,5.06061098858357
Frmd5,186.5704455876675,-1.0368004567720472,0.2906082019277945,-3.5676916545860404,0.00036013994900126883,0.02676611549541573,7.929017854830997,3.6206185386125664
Rin2,111.0788575002523,-0.7646954448253017,0.2277794738936921,-3.3571745151285928,0.0007874339433241838,0.0466589906078073,7.146731072275835,3.0648896455459664
Tgm2,49.63881597293686,-0.9379028502351991,0.2748089365201234,-3.41292703982543,0.0006426914600533247,0.041190002201351855,7.349845793284892,3.189559717090307
Cyp7b1,20.5206467880852,1.6155674301795246,0.45791259728757344,3.528113093523245,0.0004185332994740168,0.030429428173956427,7.778754102564517,3.492345106772777
Kpna4,297.68043374709043,-0.5307735855049396,0.12949383233928935,-4.098832939890521,4.1523860478086925e-05,0.0057133236687980414,10.089242344669579,5.164954346057649
Mcub,25.711547047038557,1.4789630928856299,0.3693322853657615,4.004424068751438,6.216875521311205e-05,0.00685365156310016,9.685658012191471,4.982973693836823
Gbp2,31.40736738032744,1.4346208635974442,0.35656381573635926,4.023461720687307,5.7348908924686554e-05,0.006509622516669421,9.766356739422763,5.034473809593489
Slc44a5,33.56369936451984,-1.7699335392517024,0.4673226144214549,-3.787391161120844,0.0001522373353909902,0.01346049420700739,8.790069837816166,4.307996238722852
Xpa,32.083115915009486,-0.9551237091955685,0.2735472024965644,-3.491623019641608,0.00048009532317351024,0.034059489801957096,7.641525883833897,3.3796465832503597
Rgs3,61.98226378712572,-0.7120064642954758,0.2094704682122051,-3.3990780197911907,0.0006761342594401862,0.04163706827519634,7.299118893002066,3.178764444169439
Runx3,118.59501176782081,-0.7754420117618595,0.17569815040069278,-4.413489897266453,1.0171746685722878e-05,0.0018677121929108215,11.495896613808975,6.283041023363392
Rundc3b,21.487075451638837,-1.4568223115763532,0.42715629453506043,-3.410513505746265,0.0006484067269380868,0.041190002201351855,7.340992393483394,3.189559717090307
Arap2,136.95819561964964,-1.0724213398876132,0.20715955871278638,-5.176789072882983,2.2573717818922164e-07,9.395181356235405e-05,15.3038944427663,9.272728528806766
Adgrl3,780.0293051426247,-0.8856268971676088,0.21556675262666394,-4.108364979183082,3.9847004896463084e-05,0.005653746626559523,10.13046331498897,5.175436833845488
Mdh2,269.80521499717617,-0.5570661521710212,0.13264016623172892,-4.1998300213059085,2.6711543317500913e-05,0.003970480117408528,10.530414751998684,5.528868255220308
Adap1,72.11659692781762,-0.8689616413833803,0.2148812992617364,-4.043914683915516,5.2566054192818044e-05,0.006341683632670226,9.853440004104419,5.06061098858357
Chn2,254.92855836431258,-0.95581009122436,0.2301987821582815,-4.152107505795397,3.29427433339683e-05,0.004782826665906141,10.320739553927032,5.34272355455885
Nod1,56.0634246289517,-0.773457533236276,0.23215405934897632,-3.331656294984732,0.0008633080716280824,0.0481217168854832,7.0547389530293545,3.034021709262705
Sumf1,44.2692160839812,-0.946946472896347,0.2538879102403849,-3.729781666246982,0.00019164576360237816,0.015742690818021668,8.559861871248302,4.15137909647289
Mical3,62.09509328586319,-1.2105026001536705,0.3639560972497026,-3.325957744082441,0.0008811528581620117,0.04819404301383682,7.03427944178667,3.03251985448787
Clec4a3,41.49389731531451,2.2294966690036966,0.3199522416934217,6.968217060157375,3.2098273535023206e-12,3.3398253613191645e-09,26.464803964188697,19.517347318355007
Tspan9,38.92398736529427,-1.3791917607739614,0.31732018584760974,-4.346372598673273,1.384073809510973e-05,0.0023022813540173846,11.187894278625263,6.073854754596859
Wbp11,43.74788933998999,-0.8424340131840804,0.24834020819420832,-3.3922578196651734,0.000693191808070792,0.042015499590154895,7.274203817747769,3.169716690915661
Eps8,95.81980014551685,-0.697205388138573,0.19763707860436722,-3.527705393451241,0.00041917841149451433,0.030429428173956427,7.777213925581013,3.492345106772777
Spint2,53.50580798401359,-0.7721919181600406,0.23351250372437876,-3.3068546901945775,0.0009434982064370363,0.04991745171852896,6.965916094125111,2.997384603529032
Ppp1r14a,60.66547345470841,-1.2387140904336116,0.24225924113492125,-5.1131758055154455,3.167872132568976e-07,0.00012360641077267573,14.965035540014853,8.998408147192889
Ffar2,86.93483544614159,-0.9387475045852647,0.20901267770876472,-4.491342414613252,7.077565784135817e-06,0.0014253304254954807,11.858580525176874,6.553351614600277
Gm32633,26.426114282611987,-1.3904614167476126,0.3482934595515583,-3.992212252673039,6.545974051064339e-05,0.0070459510346197705,9.634075252989481,4.955302148474157
Spcs2,102.77351806414943,0.6439934329988031,0.17039103281373139,3.7795030780921786,0.00015714165090445763,0.013625490647174013,8.758362924325128,4.295812928279441
Ifitm2,186.57417683580692,0.7474663603498024,0.2245636495262014,3.328527844675014,0.0008730627716002882,0.04819404301383682,7.043503101387383,3.03251985448787
Ifitm3,571.8934970447609,1.082825598310391,0.2315832255016082,4.675751432190288,2.928791884916148e-06,0.0007313779095012604,12.740920545932209,7.220580255738666
Gm16553,24.96427146417569,-1.2265127091919767,0.3695086552308017,-3.3193071172470243,0.0009024112219038819,0.04856683843401668,7.010440241677365,3.0248143177219853
Cd209a,158.73402608494203,1.3698329923171333,0.2716106219371706,5.0433704784712186,4.5740241901356274e-07,0.000158642405661204,14.597702266754395,8.748857909588814
Eif4ebp1,25.974770084312798,1.1773279309460511,0.3427215595297996,3.4352315989729343,0.0005920476139541472,0.03932077929697597,7.431923497337905,3.2360021645461647
Hpgd,53.67635271512644,1.2967376312352787,0.34059085034701986,3.807317871029312,0.00014048212807149277,0.01328833220530802,8.870430279619507,4.320868906584188
Uba52,127.9369550281221,-0.7178849930932452,0.148771436938054,-4.82542219036414,1.3970700098880868e-06,0.0003792133944231011,13.481133364494108,7.877411465361513
Nrp1,42.70150860615303,1.1783588611364137,0.28828015722793426,4.087547587275393,4.359572702687902e-05,0.005790811145293739,10.040551416382653,5.151482903030968
Bbs9,140.07581771919214,-0.9513118086418586,0.20525234531740255,-4.634840138711929,3.5721342408633483e-06,0.0008259568172485142,12.542347314227477,7.0989680651700615
Cdon,51.252185355745254,-1.0617122952143088,0.26943047237164025,-3.9405798678548534,8.128488113180725e-05,0.008184863111385042,9.417550522642356,4.805468792625704
Ipcef1,36.169994437187725,1.210598275755091,0.32713918243410867,3.7005603142598975,0.00021512393918739418,0.017218189132652585,8.444296234589904,4.061788946217752
Gm35154,34.053139912943195,1.5973316638155892,0.31477045295203343,5.074592131615987,3.883280464119481e-07,0.00014260776433822306,14.76141537409723,8.855412603091702
Lcp2,103.37956005814297,-0.7203869169479756,0.19242655131371905,-3.7436981124995907,0.0001813315041207373,0.01529800784088869,8.615183687396785,4.18003266553921
Specc1,145.5764964048433,-0.7590527401251962,0.18013885216542155,-4.213709208206556,2.5121067841295087e-05,0.0038251421105659814,10.591803707662088,5.566159659304652
Cd68,91.91181372201221,0.6128841058709973,0.17580041064865576,3.486249569097259,0.0004898437838818761,0.034360615087354524,7.6214240260941395,3.370844280764535
Ccl9,45.797727677489014,1.4181163664506868,0.3336907439278157,4.249792336935348,2.1396879094628154e-05,0.003425146568917014,10.752265483271293,5.676611014339195
Wfdc17,96.93937308602365,2.011658134033536,0.3836855059043186,5.2429870377620995,1.5799764275574853e-07,7.045566312315272e-05,15.660685723298153,9.560526937851666
Mbtd1,122.9819469202229,-0.6958461948472233,0.1571558891925177,-4.427744950714536,9.522340452090486e-06,0.0018577491075750282,11.561869893568305,6.288389681306287
Adam11,19.745238994328787,-1.2753973045311355,0.38220080567293435,-3.3369822501696866,0.0008469335682715016,0.04770894610560699,7.073888298180949,3.0426363492892343
Abca9,23.849752232407216,1.4844994373498028,0.3909595622183111,3.7970664508798,0.0001464185494028426,0.01346049420700739,8.829041260891954,4.307996238722852
Pdia6,115.26155912688715,0.7767768388083601,0.17883050035079678,4.3436485235159665,1.4013565826150988e-05,0.0023022813540173846,11.175484709932217,6.073854754596859
Immp2l,440.80723956702656,-1.0128381137263913,0.17397307825040015,-5.821809465649675,5.821389317913922e-09,3.634293351173661e-06,18.96172688927262,12.52509586720492
Stxbp6,40.493308559105294,1.3158213872005384,0.3811350958123087,3.452375290698811,0.0005556742734035748,0.037707331400636056,7.495328274586732,3.277900736574028
Rtn1,273.778476877564,-0.6740442422339346,0.19397994913958988,-3.4748139961047504,0.0005112076858594085,0.03507109431670646,7.578734620077728,3.3503780115328334
Actn1,58.43896048446622,-1.065048475839752,0.3153456868453275,-3.3773998512373593,0.0007317459409971453,0.04392586451581902,7.2200771793879905,3.1252519634676195
Ston2,41.54192387539135,-1.0564260350179584,0.31018719470429656,-3.4057693323705904,0.00065977898768784,0.041190002201351855,7.32360564616396,3.189559717090307
Asb2,148.9494013396918,-0.6928933217576654,0.15052251527778518,-4.603253675896591,4.159410807589583e-06,0.0009274000597064916,12.390137126512938,6.983125521626398
Ifi27l2a,278.43862934425727,0.907207154927479,0.20738851748010292,4.374432904726837,1.2174856113989353e-05,0.0021716464777038723,11.316137707218282,6.132269653645951
Ighd,20.002082106376367,-1.7530141586028753,0.3656912851497685,-4.793699576091703,1.6373341362470623e-06,0.0004259115421912671,13.322441165408756,7.761278880694958
Hist1h2ap,34.21125642261173,-2.1759689366046153,0.5152340528513686,-4.223263048244843,2.407905072811754e-05,0.0037581378423909447,10.634168359890507,5.5838316989427
Iqgap2,208.58930774475684,0.8457141433479803,0.1941549643677227,4.355871847532198,1.3253830696327789e-05,0.0022984351399215107,11.231223938159228,6.0755267615535935
Il31ra,69.0372615899163,-1.0074381085633242,0.2045597246630415,-4.924909388799844,8.439945424314943e-07,0.00026345289641999093,13.985119808684756,8.241635967177004
Gm43305,29.222641233189375,-1.32323612295919,0.3492699773382132,-3.788576771022731,0.00015151277432096032,0.01346049420700739,8.79484061761926,4.307996238722852
Tbc1d4,438.5757350722545,-1.0735644366068064,0.21519642465052935,-4.988765209971464,6.076644646985297e-07,0.00019966575016383794,14.313642974587191,8.518865838691887
Gm10076,255.98769691753657,-1.2447192398843854,0.11291845365628544,-11.023169372060382,2.9546891515596036e-28,9.223062186593302e-25,63.38898915256616,55.342920218064364
Tpm3-rs7,19.1538436592841,4.976571252475085,0.6798292788307073,7.320324980757945,2.4737114955617216e-13,3.088676173358365e-10,29.02788655631911,21.898108353691466
Gpr183,137.8898329929066,-0.6011307285608858,0.1816435182976579,-3.3093981783364117,0.0009349676654831766,0.049888915688986936,6.974998611644505,2.9979564313805174
Ctnnd2,200.98282538075935,-0.7648399770335268,0.20201717428980895,-3.7860146283221736,0.00015308266677839576,0.01346049420700739,8.784532476743282,4.307996238722852
Sntb1,24.20841793787734,1.5312851521397173,0.3302299450716824,4.637026941355437,3.5345635633984575e-06,0.0008259568172485142,12.55292072779405,7.0989680651700615
Mrtfa,211.09425439366555,-0.7021830754106919,0.17144575544164686,-4.09565739088645,4.20972110787618e-05,0.0057133236687980414,10.075529064630299,5.164954346057649
Nr4a1,89.2442976203812,-0.9182108478898678,0.20122851222104474,-4.563025576023914,5.042166955603815e-06,0.0010854568380632627,12.197674616774968,6.825754331699699
Sdf2l1,78.5360486473168,0.7772200696044542,0.22876865662463441,3.3974062752823855,0.0006802788665817758,0.04163706827519634,7.2930077459469125,3.178764444169439
App,128.73270232126546,-0.7919257581013066,0.19637516536380756,-4.0327184786027965,5.513531538685794e-05,0.0063742550733361875,9.805720114504137,5.055488046006667
Tagap,27.79323032068856,-1.187375167087186,0.3469979085321406,-3.421851077172143,0.0006219637007054574,0.040872835615833374,7.382628825922488,3.1972896024612854
Cyp4f16,114.57364255925603,-0.6404036986752683,0.18391880900941213,-3.4819913315255064,0.0004976998033185037,0.03452377635686021,7.605513467280668,3.366107022549189
H2-Oa,153.21220369947542,-0.9464125355787684,0.15131359849439935,-6.25464297324076,3.9842631601433065e-10,3.109219363596833e-07,21.643498538146755,14.983723964764845
H2-DMb2,102.46981210237047,-0.7325231332758034,0.21954527828569,-3.3365469710652818,0.000848260935082873,0.04770894610560699,7.072322263038644,3.0426363492892343
Hspa1b,146.72604986981912,-2.233473905276312,0.5530714947515375,-4.038309561189156,5.383777551361877e-05,0.006341683632670226,9.829535190093193,5.06061098858357
Hspa1a,179.22662726218744,-2.0179065427930123,0.5602316109298258,-3.601914821343014,0.0003158818742897435,0.024049396843791083,8.060142229802594,3.7276453620051027
Camkmt,106.37304065333872,-0.6661728874919647,0.1769092672400176,-3.7656189406298872,0.00016613701117512328,0.014208128229675269,8.702697741512186,4.2539410675988325
Mpp7,27.480303398477748,-2.198327089970308,0.3946160251565848,-5.570800347243895,2.535717750045961e-08,1.4391350830488121e-05,17.490204010871878,11.148883168608505
B4galt6,49.94627651106862,-1.3223432409751166,0.2516442215226028,-5.254812659611749,1.4817522186247592e-07,7.045566312315272e-05,15.724870331973303,9.560526937851666
Egr1,123.01454316133453,-1.1894832036416423,0.22640612419049627,-5.253758960339875,1.4902589087831586e-07,7.045566312315272e-05,15.719145781812218,9.560526937851666
Trim36,19.05483708631096,-1.556462684230359,0.3846764232007276,-4.0461608519693,5.206446429969129e-05,0.006341683632670226,9.863027909103026,5.06061098858357
Ccdc192,48.90161203603655,-1.5887959397108986,0.32438203525431414,-4.897915935650657,9.685845318524186e-07,0.00028794634439784046,13.847430076697593,8.152736399359272
Slc12a2,49.26991969403008,-2.0377069587802903,0.34388292128101994,-5.925583484022701,3.111904376995372e-09,2.1586243361757896e-06,19.588030958288932,13.046039420563408
Cd74,5079.327616765421,-6.8970297991262,0.14286450412849588,-48.27672094758289,0.0,0.0,690.7755278982137,690.7755278982137
Malt1,240.21154858104669,-0.7212542673371587,0.19432479475359538,-3.711591556042614,0.00020596014334052946,0.01669882045292111,8.487827886823624,4.092417193615564
Pmaip1,189.2963534994709,-1.1901647475187005,0.17633356499821584,-6.749507659138762,1.4834767932490787e-11,1.3230493743219999e-08,24.934047505551074,18.140741539544642
Smad4,85.0209834276901,-0.6657107665219488,0.19330967036783978,-3.443753047921501,0.0005736994527407514,0.038511889069467856,7.463404900268789,3.256788278360301
Cdk2ap2,112.70908911031975,0.6639668545481725,0.17521211775907453,3.7895030494475295,0.00015094895855200768,0.01346049420700739,8.798568801126331,4.307996238722852
Ms4a6b,97.1802787877788,0.7424269666417733,0.20353957504127304,3.647580410302157,0.0002647214781109627,0.020919698580338483,8.236832310689554,3.8670640480948317
Tnks2,102.45113106455295,0.524590757510146,0.15695803016244045,3.34223586373524,0.0008310640938886121,0.04770894610560699,7.092803637456597,3.0426363492892343
Arhgap6,190.6785374116599,-0.9748501439073906,0.238783053908896,-4.082576748848055,4.45390959431103e-05,0.005792866166100783,10.019143193981144,5.151128089827291
