,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log_pvalue,log_padj
Ptp4a1,3.1517586809841895,2.4464508499351765,0.6682586804852002,3.660933888892982,0.0002512976013329229,0.00766954974833224,8.288872658494412,4.870497368281438
Il1r2,31.784574239770905,3.652025897879844,0.4072278279567959,8.968016542983646,3.019017124984889e-19,7.591515453195697e-17,42.64418544377518,37.116915344968874
Gls,164.1848153398202,0.5329701443592306,0.1277062679825121,4.173406307920726,3.0007909500450703e-05,0.0012918520013716528,10.414049561036652,6.651678430205022
Stk17b,173.86365535893182,0.7397267699304835,0.09581626494252544,7.720263051103089,1.1608987141492695e-14,2.025735554662923e-12,32.08699684318804,26.925088244454006
Coq10b,37.06214586361363,1.1117649368273532,0.18354398152658633,6.057212704990352,1.3850039835200954e-09,1.452319688115522e-07,20.39756282112345,15.744933587911307
Plcl1,87.9049359269522,-1.014458048248311,0.26409184652089784,-3.841307717798232,0.00012238058153656958,0.004127044275899419,9.008374848048952,5.49019379991949
Clk1,186.85105941147748,0.7848075005174843,0.0772835642301632,10.154908205064121,3.151065727382921e-24,1.072011096136419e-21,54.11430151008563,48.284750539406396
Fam117b,77.21651558019872,1.1740966504766008,0.19010234396493128,6.176129267996767,6.569220738114051e-10,7.306363103631272e-08,21.143455713593617,16.431935117439586
Icos,10.842973890500732,-1.2084939294638364,0.3991302103931908,-3.027818736831086,0.002463257914626736,0.0460298938586227,6.0062704496838375,3.0784642270730322
Slc16a14,3.4791966580833,2.036941959582416,0.5868053608975116,3.4712395204892785,0.0005180616751972024,0.013807417965451705,7.565416258705094,4.282549297510097
Sh3bp4,22.067897911183945,-0.8661319164005069,0.2715094105707718,-3.190062232390801,0.001422421598918289,0.030123756636513524,6.555394508478606,3.5024411614998208
Per2,3.769125223196241,1.9924179816886685,0.6222746229821373,3.2018306839195367,0.0013655723750988981,0.029178613542833753,6.596181615819514,3.534319250969928
Mapkapk2,150.22691882606625,0.5567990374956082,0.09975597712380779,5.581610782124478,2.3830118978043083e-08,1.983043066323916e-06,17.552315553064208,13.1308779908995
Btg2,306.0619378176247,1.3068156363643513,0.1423948772476463,9.17740624960546,4.415996525374103e-20,1.245849556317128e-17,44.56646833773294,38.92412890914185
Csrp1,36.751682753304536,0.6120397827792432,0.17751659149623167,3.4477891763274173,0.0005651950164381135,0.014724348547611843,7.4783397245351075,4.218252791671931
Rgs2,391.9245663266687,1.1640747267828295,0.11146356713128264,10.443544529772437,1.5684272496216225e-25,5.852257418184937e-23,57.114553959412994,51.19262966860274
Rgs1,184.82409010688895,2.645685460339869,0.21933805302803014,12.062136158388192,1.6738431299559953e-33,1.019018078115842e-30,75.47018581083096,69.058713294702
Ptgs2os2,9.727243006992754,1.4020585574253106,0.4452767523088125,3.1487351409106172,0.001639787410700892,0.03339334679503031,6.413188673169824,3.3993985965955735
Gm29282,23.120312446907693,1.2293313594943478,0.3279396347909553,3.748651364687844,0.0001777880250494252,0.0057443410216388305,8.634918587830777,5.159540078936076
Gm9530,12.532374575876014,0.9810343591179469,0.31725133313696285,3.0922938902022437,0.001986161060708633,0.03848228641409843,6.221551618606823,3.257557236704024
Ier5,235.45933514739838,1.0380063693192332,0.074634157407515,13.907926415669765,5.669951589903852e-44,8.198041255052232e-41,99.57856351197063,92.30209355835505
Rasal2,115.53174521871942,-1.0789941861165435,0.3112571936412402,-3.466567867858529,0.0005271486353092582,0.01398515657023438,7.548028008753813,4.269758756807446
4930523C07Rik,84.2150647876514,0.5984748767905259,0.11698833296769444,5.115680013628289,3.126126409164925e-07,2.178307480410282e-05,14.97830098178401,10.734377274845151
Prdx6,82.1265053067546,0.7775611371292599,0.16506783508405518,4.710555128643405,2.47042962116615e-06,0.0001383382281424593,12.91111848675465,8.885808942865333
Uck2,33.36703445660001,0.7945951568265777,0.18178596890121748,4.37104778564269,1.2365172500566244e-05,0.0005959497929752073,11.300626706375205,7.425354134421795
Uap1,31.17188928564987,0.8330675854270423,0.2582201785861821,3.226190880930718,0.0012544966171683884,0.027224694879524856,6.6810208887191145,3.6036308175895573
B930036N10Rik,15.40015156524176,1.1193369753831819,0.26138777619051184,4.282285085004724,1.849837678581372e-05,0.0008413028991899904,10.897827571036855,7.0805587973300135
Fh1,59.331133448581504,-1.0294397583045376,0.16814557885796572,-6.122312375362042,9.222698773277369e-10,1.0064052519858427e-07,20.804183226604344,16.11171082542101
Dusp10,22.111121852015433,1.3146204722464168,0.21703442546569648,6.057197928050359,1.385131172526362e-09,1.452319688115522e-07,20.397470992386445,15.744933587911307
Fam71a,4.955156319802554,5.763666377376068,1.0310624327943665,5.590026553247106,2.2703489181696814e-08,1.9050719510729016e-06,17.600747215826193,13.170990780506788
Atf3,187.6901033012915,2.6916217302939653,0.20768650276926234,12.96002241072127,2.0618728409824387e-38,1.7035487965459905e-35,86.77461881788727,80.05776465220713
Dclre1c,58.75704837616758,0.7094721146321205,0.15293687714009876,4.63898654071643,3.501218515689096e-06,0.00019103110646686685,12.562399502718387,8.563074282094998
Ttf1,17.67857556133885,-0.720728296325079,0.23422723902173578,-3.077047312410137,0.002090621153525937,0.04023663042068971,6.170294054517385,3.2129774937571915
Hspa5,364.7997633178565,1.1075804675109957,0.12225538968558285,9.059563511755824,1.3097360749864756e-19,3.607075518897277e-17,43.47929111944748,37.86104924243545
Zbtb26,6.006997185272423,-1.346446172188112,0.44635631791966185,-3.0165276442450946,0.002556879023723199,0.04732067146784999,5.968967895593969,3.050808050034969
Nr4a2,22.41579980801557,3.1086379179988137,0.5617737082667522,5.533612328690026,3.137019215323694e-08,2.519854254420081e-06,17.27740768938047,12.891309493661069
Cytip,307.80932052238455,0.7790951887495337,0.10047474403315347,7.754139572552252,8.894446138315723e-15,1.5828008997215071e-12,32.353349342362705,27.171825116962943
Spint1,28.351552810734088,-0.5742620741084448,0.18925078482722876,-3.0343973190531353,0.0024101678392540213,0.0454045788219076,6.028058891060532,3.0921423239122725
Dusp2,42.15069084501937,0.8873516676506632,0.23784678509433516,3.7307700724175037,0.00019089538405745067,0.006082884042403669,8.563785007423022,5.102276346392471
Slc20a1,17.547612903197603,1.1086911493713951,0.29246471193950063,3.79085443169889,0.00015012992853161248,0.004891698262887779,8.80400944858352,5.320215742763534
Gm14023,4.295232294659067,1.824186768150856,0.505710468677907,3.6071762028574925,0.00030954746083030417,0.00911077730133366,8.08039913080992,4.698297247383779
Rem1,11.135138903399847,-1.2254757102624823,0.3618332575542843,-3.386852050432731,0.0007069950312492767,0.017511373718330586,7.254486920028357,4.044904682401852
Pigu,18.08620221607759,-0.7728326211704026,0.24509640569673177,-3.153178109542175,0.0016150323434188354,0.033122480702705084,6.428400295623325,3.407543051825982
Trp53inp2,7.051294170873639,1.5436141839263007,0.4478947006136238,3.446377422665465,0.0005681562497965382,0.01473511959954385,7.473114089402837,4.217521546127499
Rbm39,524.0865024293637,0.6164029618065869,0.06582805953241502,9.363833085540946,7.689526098539046e-21,2.3406512732052935e-18,46.31442779693398,40.59610246136496
Ppp1r16b,20.4377616305171,-0.8538626773274948,0.2567938571250079,-3.325089964717623,0.0008839000850656792,0.0208654536407239,7.031166527658346,3.8696604234676166
Top1,192.0978649496195,0.7197404241488966,0.1095862061803345,6.567801270211831,5.106362658503579e-11,6.490691963836363e-09,23.69794868068687,18.852896691908317
Pltp,49.666019916076515,-1.3783153736533567,0.30804841526650784,-4.4743465810752765,7.664533521924617e-06,0.0003888406107372897,11.778906905688828,7.852341039347868
Zfas1,62.17368142877253,0.5667426847179906,0.14809872730224888,3.826789703339905,0.00012982533636726317,0.0043370166312948774,8.949320577308974,5.44056857938992
Gm14455,3.8352087049581267,1.6931737412130863,0.5167038415334004,3.2768746912899376,0.0010496294143526783,0.023638609129337972,6.859318115821965,3.7448739236515114
Gm16685,12.608992367318136,-2.9976396139771135,0.7897479319962297,-3.7956916283402493,0.0001472324172607317,0.00481084002953357,8.823498149959617,5.336883567797989
Zbtb10,20.69670327614603,2.88430042245775,0.3445145356423009,8.37207178234254,5.661393889415069e-17,1.2355725116766811e-14,37.41027644878854,32.02465686704526
