,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log_pvalue,log_padj
Aff3,214.39690330115465,-0.7955989605108362,0.14966901959112067,-5.315722403235655,1.062350036842325e-07,1.6781121714045178e-05,16.057612180898783,10.995256010885015
Il1r2,31.784574239770905,-1.49155393562689,0.4548620405316934,-3.279134776521241,0.0010412589362133024,0.027851181514305965,6.867324782322399,3.580879889296662
Stk17b,173.86365535893182,-0.5308648511433534,0.11107484183481123,-4.779343750341299,1.7586828539307413e-06,0.00019631590470810888,13.2509454075376,8.53578543750802
St8sia4,293.88421158414,-0.7360916354424959,0.20108060352861296,-3.660679461496409,0.00025154729297373693,0.010272946033054271,8.28787954246932,4.578241438041837
Cxcr4,17.206281782578714,1.7819883327974446,0.43340242903512516,4.111625162703052,3.9288379012277015e-05,0.0024918356749301755,10.144581782249912,5.994735621270392
Srgap2,72.09905506332689,0.8244115909702123,0.24151799327705345,3.4134582677842222,0.0006414398159664131,0.019436177981352738,7.351795195977058,3.94061910517681
Ctse,15.692084921274498,-1.319155695649487,0.4189210657224787,-3.1489361686179413,0.0016386598367056496,0.037078000413242426,6.413876543954138,3.2947314660265175
Csrp1,36.751682753304536,-0.6343468934428675,0.20923039830126855,-3.0318103802941594,0.0024309185803528407,0.048804916917779335,6.019486076453849,3.0199242146867604
Rgs1,184.82409010688895,-1.635244347271788,0.22854033234997465,-7.155167451002306,8.357084566463891e-13,4.372844499402231e-10,27.81049657871746,21.55043721739135
1700025G04Rik,89.71559062443254,1.4713583072727299,0.23506851392622863,6.2592742970863595,3.867730597016728e-10,1.2454092522393865e-07,21.6731830039434,15.898631458398992
Ier5,235.45933514739838,-0.5168051260832656,0.09203766659005122,-5.615148071769232,1.963939914351453e-08,3.823745340221015e-06,17.745728127995488,12.474280160123161
Ralgps2,35.58658973043571,-1.0833121685208873,0.29507222806381855,-3.671345743478737,0.00024127668477893352,0.009950583275710499,8.329566213379442,4.610124108855338
Creg1,116.95327704378343,-0.5347900228400352,0.1269953543790284,-4.2110991024436135,2.5413122308730495e-05,0.0017297452029974934,10.580244891017248,6.359781162823775
Fcrla,27.403253673957693,-1.2902342193670264,0.3187203407686423,-4.048170305840635,5.1619581818233154e-05,0.0030868509927303423,9.871609464864445,5.780603803907859
Fcgr2b,37.360493466402446,1.3064532249862004,0.3096796678462424,4.218724574565423,2.4568817852463964e-05,0.0016859847791871171,10.614032486041506,6.385405447208872
Ifi207,65.50183516486126,0.708525881347913,0.22369365104637168,3.1673937907206655,0.0015381188274953593,0.035769807843864306,6.477195149832867,3.3306510977171326
Ifi204,15.532018545783652,1.7046739002303999,0.47516353194495126,3.587552043930615,0.000333797121155446,0.012760499992298604,8.004977171233149,4.3614008174837595
Ifi205,40.045936631017625,1.0364643561969589,0.3329238582306193,3.113217423663854,0.0018505962975044453,0.04024205766936939,6.292247368851418,3.2128426195733124
Atf3,187.6901033012915,-0.8210717369705121,0.22257827151629866,-3.6889123604789416,0.0002252147749827357,0.00957105632566225,8.398456055579395,4.649011700751492
Bmyc,76.63909834935849,-0.7842350068160567,0.14696253445714635,-5.3362920673141785,9.48665483411894e-08,1.5273514282931492e-05,16.170794687241457,11.089390322256994
Olfm1,44.12155233453575,1.123722934547182,0.3546872744909282,3.1682076447767322,0.0015338192822481394,0.03576917835927973,6.47999439115944,3.330668696081829
Zbtb34,11.839099447268255,1.3461104475968155,0.43092561619023717,3.123765209173732,0.0017855287280419264,0.03923476774584516,6.328040701424973,3.2381919929857834
Ggta1,71.96739335473796,0.6674714604003305,0.19487396434319518,3.4251443626652835,0.0006144728216960437,0.01883527098530502,7.394745858258427,3.9720240506145776
Ifih1,39.90794945640566,0.7182172994289487,0.23129151931334838,3.1052470127792478,0.0019012018053123512,0.04089856629973839,6.265269063660201,3.196660270343907
Sp3os,14.157767324314387,-0.955738954731245,0.31310598907741327,-3.0524454595946593,0.0022698497589355147,0.04634922483367836,6.0880416351701445,3.071550711302608
Gpr155,23.15094976363563,-0.9889630037040039,0.27439052360626537,-3.6042170505972315,0.0003130953295117342,0.012090972952924486,8.069002846665132,4.41529614175188
Nfe2l2,58.43898576525136,0.6453200632754139,0.2031677215843968,3.176292268490814,0.0014917058112538242,0.03498196373057987,6.507834974086413,3.352922672300162
Madd,38.37172907895623,0.7249441038307854,0.21774666252147834,3.3293006443176942,0.0008706436761361412,0.024841405363963506,7.046277762247629,3.695243446868163
Gm13919,11.138533705835547,-1.4652535282643386,0.3872438351312342,-3.783800787345716,0.00015445146408312024,0.007474379521987761,8.775630659310716,4.896274170242605
Mettl15,23.427307137888047,-0.7617526600686226,0.2508111374241069,-3.0371564352843854,0.002388214783792544,0.04829501007224922,6.037209144534705,3.0304270347941293
Stard9,22.854166675274925,1.1052785688214843,0.31908898766301463,3.463856828518173,0.0005324898391723683,0.017015286005920106,7.53794674192919,4.073643162124396
Gatm,21.827017213319007,0.8902074982411238,0.2886504131717653,3.084033341436424,0.0020421470775680104,0.042849261487216496,6.193753535600318,3.150066868924291
Zc3h6,17.222243509173243,-1.263814747574954,0.337584050765782,-3.7437039596749098,0.00018132728226873097,0.008208104209714396,8.615206970174784,4.802633294519016
Hck,195.44773519105763,0.5777293348306235,0.10340820027228505,5.586881246452402,2.3118369415614087e-08,4.301044194389359e-06,17.58263832263569,12.356652728840121
Ocstamp,10.817135523133967,2.397163306637769,0.5595363708770918,4.2841956866541775,1.834014421238671e-05,0.0013709257798759065,10.906418227896058,6.592269015625262
Ppdpf,76.21287686888824,-0.5576857761859463,0.15623324961153273,-3.5695716345439146,0.0003575654347828486,0.01324574256638057,7.936192178221337,4.324079093927733
Sirpb1a,144.07227414678886,0.6376662269609666,0.18600112532633478,3.428292306523391,0.0006073910891633813,0.018732348475539073,7.406337675918945,3.9775033846127035
Sirpb1c,28.005351360889943,0.9109496017228632,0.2812375222529491,3.2390756198724504,0.0011991777509951546,0.030652385344265502,6.7261191645541745,3.485044794366628
Jade1,21.012241709262632,-0.8368333544938618,0.2734157604526111,-3.0606624618440867,0.0022084791038047375,0.04541717501075127,6.115451188686407,3.0918649412722576
Rfx5,17.157833153944466,-1.0200636353157813,0.2975896374590233,-3.4277525387833414,0.000608599950471408,0.018732348475539073,7.404349401882596,3.9775033846127035
Mcub,25.711547047038557,1.2425715928482464,0.3404606971001547,3.64967705063094,0.0002625702119189528,0.01056845102973785,8.244992037720419,4.549882033855847
Gbp2b,16.1932700766328,4.221430249341472,1.372062252204511,3.0767046047355673,0.0020930260423599493,0.04369779059011844,6.169144392996567,3.130457736737246
St6galnac3,27.17611847591819,0.9575023289250164,0.30099753771393684,3.1810968827094226,0.0014671855483680038,0.034790228463114775,6.524409306314289,3.358418722920769
Pnrc1,99.82578727986399,-0.5699295961972739,0.17434496470239122,-3.2689765211754183,0.0010793725764286378,0.028687324475747795,6.8313753544128,3.551299909672543
Dnaja1,149.75827985264038,1.2934269424884555,0.18886679564976547,6.848355413870556,7.47037835797192e-12,3.291684611207417e-09,25.620075467735592,19.531866363336142
Xpa,32.083115915009486,-0.7442138635482063,0.2064984244710376,-3.603968724965192,0.00031339478389687215,0.012090972952924486,8.06804687177731,4.41529614175188
Txn1,263.41692683126297,-0.5859315495138387,0.12793198556871702,-4.580023884637616,4.649228332809249e-06,0.0004140780808753088,12.278809302069718,7.789456000773831
Jun,607.327309879298,-0.7555293033848212,0.15376203850991127,-4.913626996016451,8.940677367767826e-07,0.00011007551606316507,13.927484296436472,9.114343918046687
Nfia,21.330647420011648,-1.081000046126641,0.3322647938110959,-3.2534293920445476,0.0011402105770015676,0.029669766845387437,6.776542316965714,3.517626702971576
Cdkn2c,12.183341846085783,-1.2732553273109843,0.3632535901780501,-3.5051417569937677,0.0004563642210769975,0.015658529749412387,7.692219336833274,4.156739478560586
Hmgn2,41.88962155621111,-0.7030143105190763,0.19290038573934598,-3.6444422224692428,0.00026797232395204114,0.010734278928834873,8.224626851621679,4.5343130200205986
Rsrp1,207.53640524099336,0.5538463166509738,0.09852113281630853,5.62159915156085,1.891978583800364e-08,3.771343977042059e-06,17.78305759273116,12.488079127448637
Clic4,211.5538303508313,-0.5455428620602342,0.13173581137355447,-4.141188765394055,3.455104636721468e-05,0.0022482239640682004,10.273072722616874,6.097614723769029
E2f2,21.18224503948309,0.9511863469276157,0.29395810211086537,3.235788842346243,0.0012130708477143387,0.030691488633750822,6.714600243706607,3.4837699060282854
Ece1,89.75668470849585,0.6707156649116832,0.19829634458636575,3.3823904636807893,0.0007185792827700761,0.021257758852830662,7.238234513689209,3.8510333277665563
Tmco4,13.334604285978738,1.3453049853904786,0.41797693180441153,3.2186106050943546,0.0012881328117766108,0.032288167365849656,6.654561541882541,3.4330544512933505
Spen,41.56747922289492,0.7759063948433836,0.2124945432310979,3.6514179754703093,0.0002607963954910098,0.010547765328747506,8.25177054897734,4.55184125867682
Ptpn12,50.08594400434757,0.6174913163099147,0.1970955459498508,3.1329541889649293,0.0017305645011624613,0.03861862559620263,6.3593076224471465,3.2540205904917117
Khk,44.334742053065305,-0.9003721309103202,0.19315164230807402,-4.661477998070759,3.1394663465527223e-06,0.0003021104856705677,12.671457725814975,8.104717760903668
Htt,56.46832372762662,0.5331813567623822,0.17385181327323324,3.066872566490927,0.0021631105390264942,0.044604831115098054,6.136208028820245,3.1099131048560866
Anapc4,21.8043379453773,-0.8806533546206305,0.2651520060676962,-3.3213150738742296,0.0008959433293711828,0.02525534529796479,7.017633395459274,3.678717450696084
